Start Time,Duration,Title,Device Type,Country,Show Title,Genre,Media Type
2023-03-19 16:25:00-04:00,0 days 00:02:48,Legacies: Season 1: There's a World Where Your Dreams Come True (Episode 10),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-19 15:26:00-04:00,0 days 00:40:08,Legacies: Season 1: What Was Hope Doing in Your Dreams? (Episode 9),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-19 14:45:00-04:00,0 days 00:40:15,Legacies: Season 1: Maybe I Should Start from the End (Episode 8),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-19 14:04:00-04:00,0 days 00:41:08,Legacies: Season 1: Death Keeps Knocking on My Door (Episode 7),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-19 13:22:00-04:00,0 days 00:41:22,Legacies: Season 1: Mombie Dearest (Episode 6),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-19 12:32:00-04:00,0 days 00:41:06,Legacies: Season 1: Malivore (Episode 5),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-17 19:48:00-04:00,0 days 00:00:03,Legacies: Season 1: Malivore (Episode 5),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-17 18:21:00-04:00,0 days 00:40:55,Legacies: Season 1: Hope Is Not the Goal (Episode 4),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-17 17:26:00-04:00,0 days 00:40:50,"Legacies: Season 1: We're Being Punked, Pedro (Episode 3)",Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-17 16:34:00-04:00,0 days 00:41:41,Legacies: Season 1: Some People Just Want to Watch the World Burn (Episode 2),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-17 15:33:00-04:00,0 days 00:41:53,Legacies: Season 1: This Is the Part Where You Run (Episode 1),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-17 15:05:00-04:00,0 days 00:27:43,The Originals: Season 5: When the Saints Go Marching In (Episode 13),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-17 01:35:00-04:00,0 days 00:13:50,The Originals: Season 5: When the Saints Go Marching In (Episode 13),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-17 00:54:00-04:00,0 days 00:41:18,The Originals: Season 5: The Tale of Two Wolves (Episode 12),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-17 00:10:00-04:00,0 days 00:41:30,The Originals: Season 5: 'Til the Day I Die (Episode 11),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-16 23:29:00-04:00,0 days 00:41:02,The Originals: Season 5: There in the Disappearing Light (Episode 10),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-16 22:38:00-04:00,0 days 00:40:15,The Originals: Season 5: We Have Not Long to Love (Episode 9),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-16 21:44:00-04:00,0 days 00:41:07,The Originals: Season 5: The Kindness of Strangers (Episode 8),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-16 21:03:00-04:00,0 days 00:40:41,The Originals: Season 5: God's Gonna Trouble the Water (Episode 7),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-16 20:13:00-04:00,0 days 00:40:23,"The Originals: Season 5: What, Will, I, Have, Left (Episode 6)",Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-16 19:28:00-04:00,0 days 00:41:35,The Originals: Season 5: Don't It Just Break Your Heart (Episode 5),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-16 18:05:00-04:00,0 days 00:41:05,The Originals: Season 5: Between the Devil and the Deep Blue Sea (Episode 4),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-16 17:08:00-04:00,0 days 00:41:19,The Originals: Season 5: Ne Me Quitte Pas (Episode 3),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-16 16:22:00-04:00,0 days 00:40:56,The Originals: Season 5: One Wrong Turn on Bourbon (Episode 2),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-16 15:29:00-04:00,0 days 00:40:38,The Originals: Season 5: Where You Left Your Heart (Episode 1),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-16 14:47:00-04:00,0 days 00:41:14,The Originals: Season 4: The Feast of All Sinners (Episode 13),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-16 14:05:00-04:00,0 days 00:40:09,The Originals: Season 4: Voodoo Child (Episode 12),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-16 13:24:00-04:00,0 days 00:40:59,The Originals: Season 4: A Spirit Here That Won't Be Broken (Episode 11),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-16 12:41:00-04:00,0 days 00:35:46,The Originals: Season 4: Phantomesque (Episode 10),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-15 00:30:00-04:00,0 days 00:04:24,The Originals: Season 4: Phantomesque (Episode 10),Apple iPhone 13 Pro Max,US (United States),The Originals,Drama,Series
2023-03-14 23:53:00-04:00,0 days 00:25:27,The Originals: Season 4: Queen Death (Episode 9),Apple iPhone 13 Pro Max,US (United States),The Originals,Drama,Series
2023-03-14 23:13:00-04:00,0 days 00:39:36,The Originals: Season 4: Voodoo in My Blood (Episode 8),Apple iPhone 13 Pro Max,US (United States),The Originals,Drama,Series
2023-03-14 22:27:00-04:00,0 days 00:33:10,The Originals: Season 4: High Water and a Devil's Daughter (Episode 7),Apple iPhone 13 Pro Max,US (United States),The Originals,Drama,Series
2023-03-14 22:14:00-04:00,0 days 00:12:58,The Originals: Season 4: Bag of Cobras (Episode 6),Apple iPhone 13 Pro Max,US (United States),The Originals,Drama,Series
2023-03-14 21:01:00-04:00,0 days 00:22:25,The Originals: Season 4: Bag of Cobras (Episode 6),Apple iPhone 13 Pro Max,US (United States),The Originals,Drama,Series
2023-03-14 20:45:00-04:00,0 days 00:16:24,The Originals: Season 4: I Hear You Knocking (Episode 5),Apple iPhone 13 Pro Max,US (United States),The Originals,Drama,Series
2023-03-13 16:32:00-04:00,0 days 00:24:24,The Originals: Season 4: I Hear You Knocking (Episode 5),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-13 15:50:00-04:00,0 days 00:41:02,The Originals: Season 4: Keepers of the House (Episode 4),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-13 15:09:00-04:00,0 days 00:41:13,The Originals: Season 4: Haunter of Ruins (Episode 3),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-13 14:25:00-04:00,0 days 00:40:49,The Originals: Season 4: No Quarter (Episode 2),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-13 13:43:00-04:00,0 days 00:41:54,The Originals: Season 4: Gather Up the Killers (Episode 1),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-13 12:53:00-04:00,0 days 00:40:57,The Originals: Season 3: The Bloody Crown (Episode 22),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-13 12:25:00-04:00,0 days 00:26:52,The Originals: Season 3: Give 'Em Hell Kid (Episode 21),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-13 02:18:00-04:00,0 days 00:12:43,The Originals: Season 3: Give 'Em Hell Kid (Episode 21),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-13 01:38:00-04:00,0 days 00:40:10,The Originals: Season 3: Where Nothing Stays Buried (Episode 20),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-13 00:54:00-04:00,0 days 00:40:40,The Originals: Season 3: No More Heartbreaks (Episode 19),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-13 00:13:00-04:00,0 days 00:40:05,The Originals: Season 3: The Devil Comes Here and Sighs (Episode 18),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-12 23:32:00-04:00,0 days 00:40:19,The Originals: Season 3: Behind the Black Horizon (Episode 17),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-12 22:48:00-04:00,0 days 00:41:03,The Originals: Season 3: Alone with Everybody (Episode 16),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-12 22:06:00-04:00,0 days 00:40:53,The Originals: Season 3: An Old Friend Calls (Episode 15),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-12 21:24:00-04:00,0 days 00:40:32,The Originals: Season 3: A Streetcar Named Desire (Episode 14),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-12 20:33:00-04:00,0 days 00:39:53,The Originals: Season 3: Heart Shaped Box (Episode 13),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-12 18:27:00-04:00,0 days 00:00:10,The Originals: Season 3: Heart Shaped Box (Episode 13),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-12 17:24:00-04:00,0 days 00:40:23,The Originals: Season 3: Dead Angels (Episode 12),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-12 17:00:00-04:00,0 days 00:23:32,The Originals: Season 3: Wild at Heart (Episode 11),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-09 12:45:00-05:00,0 days 00:18:11,The Originals: Season 3: Wild at Heart (Episode 11),Safari MAC (Cadmium),US (United States),The Originals,Drama,Series
2023-03-09 12:45:00-05:00,0 days 00:18:29,The Originals: Season 3: Wild at Heart (Episode 11),Safari MAC (Cadmium),US (United States),The Originals,Drama,Series
2023-03-08 23:48:00-05:00,0 days 00:41:02,The Originals: Season 3: A Ghost Along the Mississippi (Episode 10),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-08 23:07:00-05:00,0 days 00:41:01,The Originals: Season 3: Savior (Episode 9),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-08 22:20:00-05:00,0 days 00:21:34,The Originals: Season 3: The Other Girl in New Orleans (Episode 8),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-08 21:59:00-05:00,0 days 00:19:20,The Originals: Season 3: The Other Girl in New Orleans (Episode 8),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
2023-03-08 21:15:00-05:00,0 days 00:40:36,The Originals: Season 3: Out of the Easy (Episode 7),Roku Midland Smart TV,US (United States),The Originals,Drama,Series
